5102669011830583|07|2023|242
5102669011881123|11|2025|131
5102669011865050|10|2022|284
5102669011872015|02|2023|629
5102669011832233|04|2024|614
5102669011881115|05|2025|456
5102669011870563|04|2025|867
5102669011802525|03|2022|246
5102669011804448|06|2024|243
5102669011885306|03|2021|795
5102669011848700|09|2025|664
5102669011847074|04|2021|551
5102669011867015|06|2021|895
5102669011856182|12|2025|918
5102669011840640|04|2024|203
5102669011800628|04|2025|949
5102669011852702|01|2021|271
5102669011804802|12|2025|214
5102669011857727|03|2021|157
5102669011848403|10|2025|777
5102669011884358|05|2024|922
5102669011877634|04|2021|351
5102669011801485|04|2022|164
5102669011848064|03|2023|177
5102669011802202|06|2022|713
5102669011855606|10|2022|554
5102669011868351|09|2025|145
5102669011808381|06|2023|583
5102669011840673|08|2023|971
5102669011873716|03|2025|491
5102669011848122|08|2024|542
5102669011885363|08|2021|513
5102669011887872|10|2021|428
5102669011821517|06|2025|559
5102669011824784|11|2024|873
5102669011875620|07|2022|590
5102669011833025|08|2022|537
5102669011823307|11|2024|201
5102669011842828|06|2022|976
5102669011851514|05|2022|679
5102669011824552|12|2025|638
5102669011814454|03|2025|801
5102669011881552|10|2025|388
5102669011813001|01|2021|504
5102669011882881|05|2021|559
5102669011808373|05|2024|820
5102669011817143|09|2022|829
5102669011823273|12|2021|464
5102669011845680|11|2022|830
5102669011830237|09|2025|765
5102669011805338|03|2021|939
5102669011881875|01|2022|783
5102669011808555|04|2021|153
5102669011852413|01|2022|419
5102669011872221|02|2024|878
5102669011888375|07|2023|455
5102669011852207|04|2024|493
5102669011868732|07|2024|835
5102669011868740|08|2021|365
5102669011808365|01|2024|545
5102669011814736|08|2025|619
5102669011823141|08|2023|956
5102669011857552|08|2024|130
5102669011858220|04|2021|478
5102669011842364|06|2023|899
5102669011805007|08|2022|778
5102669011867528|09|2023|425
5102669011825658|06|2022|317
5102669011877808|05|2023|482
5102669011867205|03|2021|117
5102669011882428|09|2021|875
5102669011872171|01|2022|499
5102669011825526|01|2024|605
5102669011875836|05|2025|907
5102669011833264|04|2024|396
5102669011833686|09|2021|442
5102669011866421|03|2024|797
5102669011878756|11|2025|404
5102669011837208|07|2024|235
5102669011843461|12|2024|984
5102669011812888|03|2023|397
5102669011808712|03|2025|316
5102669011806237|02|2022|246
5102669011862362|06|2023|293
